"ticker","asset_type","exchange","currency","sector","theme","source","status","strategy_eligible","watchlist_eligible","benchmark_eligible","wealthsimple_supported_status","added_at","archived_at","notes"
"FRSH","stock","","","Information Technology","software and customer engagement","trades.csv","active","false","true","false","unknown","2026-05-20","","Added by user to forward watchlist; Freshworks; watchlist-only until explicitly promoted to model strategy universe"
"QQC","etf","TSX","CAD","ETF / Nasdaq","Canadian-listed Nasdaq 100 ETF","trades.csv","active","false","true","false","unknown","2026-05-20","","Added by user to forward watchlist; Invesco NASDAQ 100 Index ETF; watchlist-only until explicitly promoted to model strategy universe"
"XEQT","etf","TSX","CAD","ETF / Global Equity","Canadian all-equity asset allocation ETF","trades.csv","active","false","true","false","unknown","2026-05-20","","Added by user to forward watchlist; iShares Core Equity ETF Portfolio; watchlist-only until explicitly promoted to model strategy universe"
"XIC","etf","TSX","CAD","Canada broad equity","Canadian broad-market equity ETF","trades.csv","active","false","true","false","unknown","2026-05-20","","Added by user to forward watchlist; iShares Core S&P/TSX Capped Composite ETF; watchlist-only until explicitly promoted to model strategy universe"
"HIVE","stock","","","Technology","Bitcoin mining and AI data centers","trades.csv","active","false","true","false","unknown","2026-05-20","","Added by user to forward watchlist; HIVE Digital Technologies; watchlist-only until explicitly promoted to model strategy universe"
"KEEL","stock","","","Industrials","AI infrastructure and energy assets","trades.csv","active","false","true","false","unknown","2026-05-20","","Added by user to forward watchlist; Keel Infrastructure; watchlist-only until explicitly promoted to model strategy universe"
"TE","stock","","","Energy","solar and energy infrastructure","trades.csv","active","false","true","false","unknown","2026-05-20","","Added by user to forward watchlist; T1 Energy; watchlist-only until explicitly promoted to model strategy universe"
"RIOT","stock","","","Technology","Bitcoin mining","trades.csv","active","false","true","false","unknown","2026-05-20","","Added by user to forward watchlist; Riot Platforms; watchlist-only until explicitly promoted to model strategy universe"
"CLS","stock","","","Information Technology","electronics manufacturing and AI infrastructure","trades.csv","active","false","true","false","unknown","2026-05-20","","Added by user to forward watchlist; Celestica; watchlist-only until explicitly promoted to model strategy universe"
"QUBT","stock","","","Information Technology","quantum computing","trades.csv","active","false","true","false","unknown","2026-05-20","","Added by user to forward watchlist; Quantum Computing Inc.; watchlist-only until explicitly promoted to model strategy universe"
"RGTI","stock","","","Information Technology","quantum computing","trades.csv","active","false","true","false","unknown","2026-05-20","","Added by user to forward watchlist; Rigetti Computing; watchlist-only until explicitly promoted to model strategy universe"
"QTUM","etf","NASDAQ","USD","Quantum / AI","quantum computing and machine learning ETF","trades.csv","active","false","true","false","unknown","2026-05-20","","Added by user to forward watchlist; Defiance Quantum ETF; watchlist-only until explicitly promoted to model strategy universe"
"INFQ","stock","","","Information Technology","neutral-atom quantum computing","trades.csv","active","false","true","false","unknown","2026-05-20","","Added by user to forward watchlist; Infleqtion; watchlist-only until explicitly promoted to model strategy universe"
"BIRK","stock","","","","","trades.csv","active","true","true","false","unknown","2026-05-29","","Seeded from existing paper-trading ledger"
"DIA","etf","NYSEARCA","USD","US blue-chip equity","blue-chip industrials","benchmark_registry.csv","benchmark","false","false","true","unknown","2026-06-03","","Dow Jones ETF benchmark"
"NBIS","stock","","","","","trades.csv","active","true","true","false","unknown","2026-01-01","","Seeded from existing paper-trading ledger"
"MRAM","stock","","","","","trades.csv","active","true","true","false","unknown","2026-05-20","","Seeded from existing paper-trading ledger"
"VST","stock","","","","","trades.csv","active","true","true","false","unknown","2026-01-01","","Seeded from existing paper-trading ledger"
"RKLB","stock","","","","","trades.csv","active","true","true","false","unknown","2026-01-01","","Seeded from existing paper-trading ledger"
"VDY","etf","","","","","trades.csv","active","true","true","false","unknown","2026-01-01","","Seeded from existing paper-trading ledger"
"IBIT","etf","","","","","trades.csv","active","true","true","false","unknown","2026-01-01","","Seeded from existing paper-trading ledger"
